stage	i	j	delta41	delta42	a41_float	a42_float	a41_rational	a42_rational	status	strict_target	rho	max_real	max_imag	err_Dr	err_Dr3	err_Dr5	err_Dr7	min_s	Vb_pd	V_full_pd	reason
coarse	-3	-7	-3.0e-5	-7.0e-5	-2.962934183851816e-5	-7.072257890760475e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-385850779913616240262318882314278526287246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	-6	-3.0e-5	-6.0e-5	-2.962934183851816e-5	-6.0722578907604755e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-165646210812499091030962360006495968239427083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	-5	-3.0e-5	-5.0e-5	-2.962934183851816e-5	-5.0722578907604755e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-55346812667276024772306111542341069334092361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	-4	-3.0e-5	-4.0e-5	-2.962934183851816e-5	-4.072257890760475e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-55543926261940516415284098852604689215517361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	-3	-3.0e-5	-3.0e-5	-2.962934183851816e-5	-3.072257890760475e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-167617346759144007460742233109132167053677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	-2	-3.0e-5	-2.0e-5	-2.962934183851816e-5	-2.072257890760475e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-56529494235262974630174035403922788622642361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	-1	-3.0e-5	-1.0e-5	-2.962934183851816e-5	-1.0722578907604752e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-58500630181907891059953908506558987436892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	0	-3.0e-5	0.0	-2.962934183851816e-5	-7.225789076047524e-7	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	-39422718932898328595597462052723976285//54558358288618058200394162301286589808392361	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	1	-3.0e-5	1.0e-5	-2.962934183851816e-5	9.277421092395248e-6	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	50616086395328225340834416096014192179892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	2	-3.0e-5	2.0e-5	-2.962934183851816e-5	1.927742109239525e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	52587222341973141770614289198650390994142361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	3	-3.0e-5	3.0e-5	-2.962934183851816e-5	2.9277421092395248e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	159732802972564341741622740698587371796677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	4	-3.0e-5	4.0e-5	-2.962934183851816e-5	3.927742109239525e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	53572790315295599985504225749968490401267361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	5	-3.0e-5	5.0e-5	-2.962934183851816e-5	4.927742109239525e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	53769903909960091628482213060232110282692361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	6	-3.0e-5	6.0e-5	-2.962934183851816e-5	5.927742109239525e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	161703938919209258171402613801223570610927083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	7	-3.0e-5	7.0e-5	-2.962934183851816e-5	6.927742109239524e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	377966236127036574543199389903733731030246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	8	-3.0e-5	8.0e-5	-2.962934183851816e-5	7.927742109239525e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	54065574301956829092949194025627540104829861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	9	-3.0e-5	9.0e-5	-2.962934183851816e-5	8.927742109239525e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	487082952704272690943987714506306910647031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-3	10	-3.0e-5	0.0001	-2.962934183851816e-5	9.927742109239525e-5	-72465059387805497266106969328270647002441451//2445719509489775022776290034195605750031381700000	54164131099289074914438187680759350045542361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-10	-2.0e-5	-0.0001	-1.9629341838518156e-5	-0.00010072257890760476	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-54952585477947041486350136921813829571242361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-9	-2.0e-5	-9.0e-5	-1.9629341838518156e-5	-9.072257890760476e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-494967496490852356663107206916851705904031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-8	-2.0e-5	-8.0e-5	-1.9629341838518156e-5	-8.072257890760475e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-55051142275279287307839130576945639511954861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-7	-2.0e-5	-7.0e-5	-1.9629341838518156e-5	-7.072257890760475e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-385850779913616240262318882314278526287246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-6	-2.0e-5	-6.0e-5	-1.9629341838518156e-5	-6.0722578907604755e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-165646210812499091030962360006495968239427083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-5	-2.0e-5	-5.0e-5	-1.9629341838518156e-5	-5.0722578907604755e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-55346812667276024772306111542341069334092361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-4	-2.0e-5	-4.0e-5	-1.9629341838518156e-5	-4.072257890760475e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-55543926261940516415284098852604689215517361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-3	-2.0e-5	-3.0e-5	-1.9629341838518156e-5	-3.072257890760475e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-167617346759144007460742233109132167053677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-2	-2.0e-5	-2.0e-5	-1.9629341838518156e-5	-2.072257890760475e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-56529494235262974630174035403922788622642361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	-1	-2.0e-5	-1.0e-5	-1.9629341838518156e-5	-1.0722578907604752e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-58500630181907891059953908506558987436892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	0	-2.0e-5	0.0	-1.9629341838518156e-5	-7.225789076047524e-7	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	-39422718932898328595597462052723976285//54558358288618058200394162301286589808392361	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	1	-2.0e-5	1.0e-5	-1.9629341838518156e-5	9.277421092395248e-6	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	50616086395328225340834416096014192179892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	2	-2.0e-5	2.0e-5	-1.9629341838518156e-5	1.927742109239525e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	52587222341973141770614289198650390994142361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	3	-2.0e-5	3.0e-5	-1.9629341838518156e-5	2.9277421092395248e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	159732802972564341741622740698587371796677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	4	-2.0e-5	4.0e-5	-1.9629341838518156e-5	3.927742109239525e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	53572790315295599985504225749968490401267361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	5	-2.0e-5	5.0e-5	-1.9629341838518156e-5	4.927742109239525e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	53769903909960091628482213060232110282692361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	6	-2.0e-5	6.0e-5	-1.9629341838518156e-5	5.927742109239525e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	161703938919209258171402613801223570610927083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	7	-2.0e-5	7.0e-5	-1.9629341838518156e-5	6.927742109239524e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	377966236127036574543199389903733731030246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	8	-2.0e-5	8.0e-5	-1.9629341838518156e-5	7.927742109239525e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	54065574301956829092949194025627540104829861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	9	-2.0e-5	9.0e-5	-1.9629341838518156e-5	8.927742109239525e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	487082952704272690943987714506306910647031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-2	10	-2.0e-5	0.0001	-1.9629341838518156e-5	9.927742109239525e-5	-24003932146453873519172034493157294751063817//1222859754744887511388145017097802875015690850000	54164131099289074914438187680759350045542361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-10	-1.0e-5	-0.0001	-9.629341838518157e-6	-0.00010072257890760476	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-54952585477947041486350136921813829571242361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-9	-1.0e-5	-9.0e-5	-9.629341838518157e-6	-9.072257890760476e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-494967496490852356663107206916851705904031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-8	-1.0e-5	-8.0e-5	-9.629341838518157e-6	-8.072257890760475e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-55051142275279287307839130576945639511954861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-7	-1.0e-5	-7.0e-5	-9.629341838518157e-6	-7.072257890760475e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-385850779913616240262318882314278526287246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-6	-1.0e-5	-6.0e-5	-9.629341838518157e-6	-6.0722578907604755e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-165646210812499091030962360006495968239427083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-5	-1.0e-5	-5.0e-5	-9.629341838518157e-6	-5.0722578907604755e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-55346812667276024772306111542341069334092361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-4	-1.0e-5	-4.0e-5	-9.629341838518157e-6	-4.072257890760475e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-55543926261940516415284098852604689215517361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-3	-1.0e-5	-3.0e-5	-9.629341838518157e-6	-3.072257890760475e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-167617346759144007460742233109132167053677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-2	-1.0e-5	-2.0e-5	-9.629341838518157e-6	-2.072257890760475e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-56529494235262974630174035403922788622642361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	-1	-1.0e-5	-1.0e-5	-9.629341838518157e-6	-1.0722578907604752e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-58500630181907891059953908506558987436892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	0	-1.0e-5	0.0	-9.629341838518157e-6	-7.225789076047524e-7	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	-39422718932898328595597462052723976285//54558358288618058200394162301286589808392361	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	1	-1.0e-5	1.0e-5	-9.629341838518157e-6	9.277421092395248e-6	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	50616086395328225340834416096014192179892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	2	-1.0e-5	2.0e-5	-9.629341838518157e-6	1.927742109239525e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	52587222341973141770614289198650390994142361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	3	-1.0e-5	3.0e-5	-9.629341838518157e-6	2.9277421092395248e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	159732802972564341741622740698587371796677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	4	-1.0e-5	4.0e-5	-9.629341838518157e-6	3.927742109239525e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	53572790315295599985504225749968490401267361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	5	-1.0e-5	5.0e-5	-9.629341838518157e-6	4.927742109239525e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	53769903909960091628482213060232110282692361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	6	-1.0e-5	6.0e-5	-9.629341838518157e-6	5.927742109239525e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	161703938919209258171402613801223570610927083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	7	-1.0e-5	7.0e-5	-9.629341838518157e-6	6.927742109239524e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	377966236127036574543199389903733731030246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	8	-1.0e-5	8.0e-5	-9.629341838518157e-6	7.927742109239525e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	54065574301956829092949194025627540104829861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	9	-1.0e-5	9.0e-5	-9.629341838518157e-6	8.927742109239525e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	487082952704272690943987714506306910647031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-1	10	-1.0e-5	0.0001	-9.629341838518157e-6	9.927742109239525e-5	-23550669198009996810581168644358532001813817//2445719509489775022776290034195605750031381700000	54164131099289074914438187680759350045542361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-10	0.0	-0.0001	3.706581614818424e-7	-0.00010072257890760476	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-54952585477947041486350136921813829571242361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-9	0.0	-9.0e-5	3.706581614818424e-7	-9.072257890760476e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-494967496490852356663107206916851705904031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-8	0.0	-8.0e-5	3.706581614818424e-7	-8.072257890760475e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-55051142275279287307839130576945639511954861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-7	0.0	-7.0e-5	3.706581614818424e-7	-7.072257890760475e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-385850779913616240262318882314278526287246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-6	0.0	-6.0e-5	3.706581614818424e-7	-6.0722578907604755e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-165646210812499091030962360006495968239427083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-5	0.0	-5.0e-5	3.706581614818424e-7	-5.0722578907604755e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-55346812667276024772306111542341069334092361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-4	0.0	-4.0e-5	3.706581614818424e-7	-4.072257890760475e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-55543926261940516415284098852604689215517361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-3	0.0	-3.0e-5	3.706581614818424e-7	-3.072257890760475e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-167617346759144007460742233109132167053677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-2	0.0	-2.0e-5	3.706581614818424e-7	-2.072257890760475e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-56529494235262974630174035403922788622642361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	-1	0.0	-1.0e-5	3.706581614818424e-7	-1.0722578907604752e-5	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-58500630181907891059953908506558987436892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	0	0	0.0	0.0	3.706581614818424e-7	-7.225789076047524e-7	9065258968877534171817316975975254985//24457195094897750227762900341956057500313817	-39422718932898328595597462052723976285//54558358288618058200394162301286589808392361	ok	false	35.01936236050898	5.171005654962693e-12	1.034908732090478e-7	0.0	0.0	0.0	0.0	0.55	true	true	
