stage	i	j	delta41	delta42	a41_float	a42_float	a41_rational	a42_rational	status	strict_target	rho	max_real	max_imag	err_Dr	err_Dr3	err_Dr5	err_Dr7	min_s	Vb_pd	V_full_pd	reason
coarse	-10	3	-0.0001	3.0e-5	-9.962934183851816e-5	2.9277421092395248e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	159732802972564341741622740698587371796677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	4	-0.0001	4.0e-5	-9.962934183851816e-5	3.927742109239525e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	53572790315295599985504225749968490401267361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	5	-0.0001	5.0e-5	-9.962934183851816e-5	4.927742109239525e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	53769903909960091628482213060232110282692361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	6	-0.0001	6.0e-5	-9.962934183851816e-5	5.927742109239525e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	161703938919209258171402613801223570610927083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	7	-0.0001	7.0e-5	-9.962934183851816e-5	6.927742109239524e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	377966236127036574543199389903733731030246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	8	-0.0001	8.0e-5	-9.962934183851816e-5	7.927742109239525e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	54065574301956829092949194025627540104829861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	9	-0.0001	9.0e-5	-9.962934183851816e-5	8.927742109239525e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	487082952704272690943987714506306910647031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	10	-0.0001	0.0001	-9.962934183851816e-5	9.927742109239525e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	54164131099289074914438187680759350045542361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-9	-10	-9.0e-5	-0.0001	-8.962934183851816e-5	-0.00010072257890760476	-219208229957191998632684371380006992004324353//2445719509489775022776290034195605750031381700000	-54952585477947041486350136921813829571242361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-9	-9	-9.0e-5	-9.0e-5	-8.962934183851816e-5	-9.072257890760476e-5	-219208229957191998632684371380006992004324353//2445719509489775022776290034195605750031381700000	-494967496490852356663107206916851705904031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
